Alcohol,0.102888576288635,NaN,NaN,
Amphet,0.23403913273838,0,1,
Amyl,0.301559184804936,0,1,
Benzos,0.257819375443697,0,1,
Caff,-0.031771990887952,NaN,NaN,
Cannabis,0.382166985138416,1,0,
Choc,-0.204490444504643,NaN,NaN,
Coke,0.280144748702484,0,0.928571428571429,
Crack,0.37021760062765,0.0180722891566265,0.997481108312343,
Ecstasy,0.285629827985051,0,1,
Heroin,0.372089801553454,0.0188679245283019,1,
Ketamine,0.254888844545229,0.0238095238095238,1,
Legalh,0.331044467597539,0,1,
LSD,0.318250357947378,0.0476190476190476,1,
Meth,0.31748023132438,0,1,
Mushrooms,0.293223580805822,0,1,
Nicotine,0.369917335318207,0.5,1,
Semer,0.0288382212502121,0.1,0.999437253798537,
VSA,0.250748625034654,0.0178571428571429,1,
